DungeonID,Dungeon_SettingID,Stage,Touch_Attrition_Battle,Reward_ItemID,OresID,Number_Of_Ores,OresID2,Number_Of_Ores2
15101,1401,1,100,5201,16101,4,16202,0
15202,1401,2,100,5201,16101,5,0,0
15303,1401,3,100,5201,16101,6,0,0
15404,1401,4,100,5201,16101,4,16202,1
15505,1401,5,100,5201,16101,5,16202,1
15606,1401,6,100,5201,16101,6,16202,1
15707,1401,7,100,5201,16101,7,16202,1
15808,1401,8,100,5201,16101,8,16202,1
15909,1401,9,100,5201,16101,9,16202,1
151010,1401,10,100,5201,16101,10,16202,1
151111,1401,11,100,5201,16101,11,16202,1
151212,1401,12,100,5201,16101,12,16202,1
151313,1401,13,100,5201,16101,13,16202,1
151414,1401,14,100,5201,16101,14,16202,1
151515,1401,15,100,5201,16101,15,16202,1
151616,1401,16,100,5201,16101,16,16202,1
151717,1401,17,100,5201,16101,17,16202,1
151818,1401,18,100,5201,16101,18,16202,1
151919,1401,19,100,5201,16101,19,16202,1
152020,1401,20,100,5201,16101,20,16202,1
